名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
天府逸家二期,龙泉驿大面,"成龙大道二段天府逸家,金槐街158号",14437,塔楼/塔板结合,2593户,12栋,商品房/使用权/私产,2015-2020年 ,2至6元/平米/月,国嘉物业有限公司,成都市永平置业有限公司
蓝光公园华府,龙泉驿大面,成龙大道金枫路,19461,板楼/塔板结合,1026户,10栋,商品房/私产,2012-2021年 ,3至3.3元/平米/月,业主自筹物业,成都龙泉驿蓝光和骏置业有限公司
华润云庭,龙泉驿大面,成龙大道金枫路（川师成龙校区旁）,16660,塔楼/塔板结合,2488户,9栋,商品房/使用权/私产,2017-2021年 ,2.6至3元/平米/月,暂无信息,成都华润置地驿都房地产有限公司
龙湖三千庭,龙泉驿大面,"成龙大道川师成龙校区旁, 金枫路520号",20700,板楼/塔板结合,2788户,31栋,商品房/已购公房/经济适用房/使用权/私产/共有产权房,2015-2021年 ,2.3至4元/平米/月,成都龙湖物业服务有限公司,成都龙湖地产有限公司
保利紫薇花语,龙泉驿大面,车城西三路666号,15639,板楼/塔板结合,3389户,14栋,商品房/私产,2014-2019年 ,2.18至2.2元/平米/月,保利物业成都分公司,成都保龙房地产有限公司
保利玫瑰花语,龙泉驿大面,"龙城大道保利玫瑰花语, 龙城大道468号, 龙城大道440号",15890,板楼/塔板结合,3552户,12栋,商品房/使用权/私产/共有产权房,2013-2017年 ,1.89至4元/平米/月,保利物业成都分公司,成都保龙房地产开发有限公司
绿地格兰德,龙泉驿大面,成龙大道二段1088号,0,塔板结合,1户,1栋,商品房,2012年 ,5元/平米/月,暂无信息,绿地控股集团宁波绿地置业有限公司
群益街49号,龙泉驿大面,群益街49号,0,板楼,19户,2栋,商品房/自建房,1998年 ,暂无信息,暂无信息,暂无信息
总部经济港,龙泉驿大面,成龙路二段888号,0,板楼,54户,15栋,商品房,2000年 ,1.1至4元/平米/月,暂无信息,临港经济发展有限公司
派瑞国际,龙泉驿大面,车城西二路288号,0,塔楼,173户,2栋,商品房/使用权,2009年 ,2.9至3元/平米/月,成都亿新物业管理有限公司,成都百花投资有限公司
